num_of_particles,t_point_create,t_point_write,t_init,t_brute
1000,6000,34906,11618,2554127
1000,6579,45380,11947,2575715
1000,7764,31089,10221,2550086
2500,16857,82988,25982,10218291
2500,16539,85328,26044,10289868
2500,15454,92114,27851,10241304
5000,33751,170686,56127,30499815
5000,26152,145409,63814,29847022
5000,38837,162236,56667,29974932
7500,50129,228404,79876,57094672
7500,39757,184662,85419,57294196
7500,50347,197313,79594,57550599
10000,58956,283763,118629,91257675
10000,59491,263024,98947,91716564
10000,63779,290111,101293,91882680
100,733,5318,277,24449
100,821,4619,246,18339
100,870,5398,279,20222
